"res_og_node_name","con_og_node_name"
"Louisella pedunculata","Olenoides serratus"
"Ottoia prolifica","Olenoides serratus"
"Selkirkia columbia","Olenoides serratus"
"Oesia disjuncta","Olenoides serratus"
"Portalia mira","Olenoides serratus"
"Burgessochaeta setigera","Oryctocephalus burgessensis"
"Canadia spinosa","Oryctocephalus burgessensis"
"Peronochaeta dubia","Oryctocephalus burgessensis"
"Stephanoscolex argutus","Oryctocephalus burgessensis"
"Aysheaia pedunculata","Oryctocephalus burgessensis"
"Hallucigenia sparsa","Oryctocephalus burgessensis"
"Aluta? sp.","Oryctocephalus burgessensis"
"Molaria spinifera","Oryctocephalus burgessensis"
"Fieldia lanceolata","Oryctocephalus burgessensis"
"Louisella pedunculata","Oryctocephalus burgessensis"
"Ottoia prolifica","Oryctocephalus burgessensis"
"Selkirkia columbia","Oryctocephalus burgessensis"
"Oesia disjuncta","Oryctocephalus burgessensis"
"Portalia mira","Oryctocephalus burgessensis"
"Burgessochaeta setigera","Oryctocephalus matthewi"
"Canadia spinosa","Oryctocephalus matthewi"
"Peronochaeta dubia","Oryctocephalus matthewi"
"Stephanoscolex argutus","Oryctocephalus matthewi"
"Aysheaia pedunculata","Oryctocephalus matthewi"
"Hallucigenia sparsa","Oryctocephalus matthewi"
"Aluta? sp.","Oryctocephalus matthewi"
"Molaria spinifera","Oryctocephalus matthewi"
"Fieldia lanceolata","Oryctocephalus matthewi"
"Louisella pedunculata","Oryctocephalus matthewi"
"Ottoia prolifica","Oryctocephalus matthewi"
"Selkirkia columbia","Oryctocephalus matthewi"
"Oesia disjuncta","Oryctocephalus matthewi"
"Portalia mira","Oryctocephalus matthewi"
"Burgessochaeta setigera","Oryctoecphalus reynoldsi"
"Canadia spinosa","Oryctoecphalus reynoldsi"
"Peronochaeta dubia","Oryctoecphalus reynoldsi"
"Stephanoscolex argutus","Oryctoecphalus reynoldsi"
"Aysheaia pedunculata","Oryctoecphalus reynoldsi"
"Hallucigenia sparsa","Oryctoecphalus reynoldsi"
"Aluta? sp.","Oryctoecphalus reynoldsi"
"Molaria spinifera","Oryctoecphalus reynoldsi"
"Fieldia lanceolata","Oryctoecphalus reynoldsi"
"Louisella pedunculata","Oryctoecphalus reynoldsi"
"Ottoia prolifica","Oryctoecphalus reynoldsi"
"Selkirkia columbia","Oryctoecphalus reynoldsi"
"Oesia disjuncta","Oryctoecphalus reynoldsi"
"Portalia mira","Oryctoecphalus reynoldsi"
"phytoplankton","Pagetia bootes"
"suspended organic matter","Pagetia bootes"
"zooplankton","Pagetia bootes"
"Canadia spinosa","Parkaspis decamera"
"Peronochaeta dubia","Parkaspis decamera"
"Stephanoscolex argutus","Parkaspis decamera"
"Aysheaia pedunculata","Parkaspis decamera"
"Hallucigenia sparsa","Parkaspis decamera"
"Aluta? sp.","Parkaspis decamera"
"Molaria spinifera","Parkaspis decamera"
"Fieldia lanceolata","Parkaspis decamera"
"Louisella pedunculata","Parkaspis decamera"
"Ottoia prolifica","Parkaspis decamera"
"Selkirkia columbia","Parkaspis decamera"
"Oesia disjuncta","Parkaspis decamera"
"Portalia mira","Parkaspis decamera"
"phytoplankton","Peronopsis montis"
"suspended organic matter","Peronopsis montis"
"zooplankton","Peronopsis montis"
"phytoplankton","Ptychagnostus praecurrens"
"suspended organic matter","Ptychagnostus praecurrens"
"zooplankton","Ptychagnostus praecurrens"
"Burgessia bella","Anomalocaris canadensis"
"Canadaspis ovalis","Anomalocaris canadensis"
"Canadaspis perfecta","Anomalocaris canadensis"
"Emeraldella bocki","Anomalocaris canadensis"
"Habelia brevicauda","Anomalocaris canadensis"
"Habelia optata","Anomalocaris canadensis"
"Helmetia expansa","Anomalocaris canadensis"
"Leanchoilia superlata","Anomalocaris canadensis"
"Molaria spinifera","Anomalocaris canadensis"
"Naraoia compacta","Anomalocaris canadensis"
"Odaraia alata","Anomalocaris canadensis"
"Perspicaris dictynna","Anomalocaris canadensis"
"Perspicaris recondita","Anomalocaris canadensis"
"Sanctacaris uncata","Anomalocaris canadensis"
"Sidneyia inexpectans","Anomalocaris canadensis"
"Tuzoia burgessensis","Anomalocaris canadensis"
"Tuzoia canadensis","Anomalocaris canadensis"
"Tuzoia? parva","Anomalocaris canadensis"
"Tuzoia praemorsa","Anomalocaris canadensis"
"Tuzoia retifera","Anomalocaris canadensis"
"Waptia fieldensis","Anomalocaris canadensis"
"Yohoia tenuis","Anomalocaris canadensis"
"Chancia palliseri","Anomalocaris canadensis"
"Ehmaniella burgessensis","Anomalocaris canadensis"
"Ehmaniella waptaensis","Anomalocaris canadensis"
"Elrathia permulta","Anomalocaris canadensis"
"Elrathina brevifrons","Anomalocaris canadensis"
"Elrathina crodillerae","Anomalocaris canadensis"
"Olenoides serratus","Anomalocaris canadensis"
"Oryctocephalus burgessensis","Anomalocaris canadensis"
"Oryctocephalus matthewi","Anomalocaris canadensis"
"Oryctoecphalus reynoldsi","Anomalocaris canadensis"
"Pagetia bootes","Anomalocaris canadensis"
"Parkaspis decamera","Anomalocaris canadensis"
"Peronopsis montis","Anomalocaris canadensis"
"Ptychagnostus praecurrens","Anomalocaris canadensis"
"Hurdia dentata","Anomalocaris canadensis"
"Hurdia triangulata","Anomalocaris canadensis"
"Hurdia vicroria","Anomalocaris canadensis"
"Burgessia bella","Laggania nathorsti"
"Canadaspis ovalis","Laggania nathorsti"
"Canadaspis perfecta","Laggania nathorsti"
"Emeraldella bocki","Laggania nathorsti"
"Habelia brevicauda","Laggania nathorsti"
"Habelia optata","Laggania nathorsti"
"Helmetia expansa","Laggania nathorsti"
"Leanchoilia superlata","Laggania nathorsti"
"Molaria spinifera","Laggania nathorsti"
"Naraoia compacta","Laggania nathorsti"
"Odaraia alata","Laggania nathorsti"
"Perspicaris dictynna","Laggania nathorsti"
"Perspicaris recondita","Laggania nathorsti"
"Sanctacaris uncata","Laggania nathorsti"
"Sidneyia inexpectans","Laggania nathorsti"
"Tuzoia burgessensis","Laggania nathorsti"
"Tuzoia canadensis","Laggania nathorsti"
"Tuzoia? parva","Laggania nathorsti"
"Tuzoia praemorsa","Laggania nathorsti"
"Tuzoia retifera","Laggania nathorsti"
"Waptia fieldensis","Laggania nathorsti"
"Yohoia tenuis","Laggania nathorsti"
"Chancia palliseri","Laggania nathorsti"
"Ehmaniella burgessensis","Laggania nathorsti"
"Ehmaniella waptaensis","Laggania nathorsti"
"Elrathia permulta","Laggania nathorsti"
"Elrathina brevifrons","Laggania nathorsti"
"Elrathina crodillerae","Laggania nathorsti"
"Olenoides serratus","Laggania nathorsti"
"Oryctocephalus burgessensis","Laggania nathorsti"
"Oryctocephalus matthewi","Laggania nathorsti"
"Oryctoecphalus reynoldsi","Laggania nathorsti"
"Pagetia bootes","Laggania nathorsti"
"Parkaspis decamera","Laggania nathorsti"
"Peronopsis montis","Laggania nathorsti"
"Ptychagnostus praecurrens","Laggania nathorsti"
