"res_sp","con_sp"
"Fucus distichus","Boreotrophon truncatus"
"Laminaria saccharina","Boreotrophon truncatus"
"Laminaria digitata","Boreotrophon truncatus"
"Saccorhiza dermatodea","Boreotrophon truncatus"
"Fucus distichus","Buccinum scalariforme"
"Pylaiella littoralis","Buccinum scalariforme"
"Chordaria flagelliformis","Buccinum scalariforme"
"Acrosiphonia","Buccinum scalariforme"
"Alaria esculenta","Buccinum scalariforme"
"Laminaria saccharina","Buccinum scalariforme"
"Laminaria digitata","Buccinum scalariforme"
"Saccorhiza dermatodea","Buccinum scalariforme"
"Laminaria solidungula","Buccinum scalariforme"
"Phycodrys rubens","Buccinum scalariforme"
"Ptilta gunneri","Buccinum scalariforme"
"Fimbrifolium dichotomum","Buccinum scalariforme"
"Desmarestia aculeata","Buccinum scalariforme"
"Palmaria palmata","Buccinum scalariforme"
"Devaleraea ramentacea","Buccinum scalariforme"
"Turnerella pennyi","Buccinum scalariforme"
"Desmarestia viridis","Buccinum scalariforme"
"Urticina eques","Buccinum scalariforme"
"Hormathia nodosa","Buccinum scalariforme"
"Phytodetritus","Buccinum scalariforme"
"Fucus distichus","Buccinum terranovae"
"Pylaiella littoralis","Buccinum terranovae"
"Chordaria flagelliformis","Buccinum terranovae"
"Acrosiphonia","Buccinum terranovae"
"Alaria esculenta","Buccinum terranovae"
"Laminaria saccharina","Buccinum terranovae"
"Laminaria digitata","Buccinum terranovae"
"Saccorhiza dermatodea","Buccinum terranovae"
"Laminaria solidungula","Buccinum terranovae"
"Phycodrys rubens","Buccinum terranovae"
"Ptilta gunneri","Buccinum terranovae"
"Fimbrifolium dichotomum","Buccinum terranovae"
"Desmarestia aculeata","Buccinum terranovae"
"Palmaria palmata","Buccinum terranovae"
"Devaleraea ramentacea","Buccinum terranovae"
"Turnerella pennyi","Buccinum terranovae"
"Desmarestia viridis","Buccinum terranovae"
"Urticina eques","Buccinum terranovae"
"Hormathia nodosa","Buccinum terranovae"
"Phytodetritus","Buccinum terranovae"
"Fucus distichus","Buccinum undatum"
"Pylaiella littoralis","Buccinum undatum"
"Chordaria flagelliformis","Buccinum undatum"
"Acrosiphonia","Buccinum undatum"
"Alaria esculenta","Buccinum undatum"
"Laminaria saccharina","Buccinum undatum"
"Laminaria digitata","Buccinum undatum"
"Saccorhiza dermatodea","Buccinum undatum"
"Laminaria solidungula","Buccinum undatum"
"Phycodrys rubens","Buccinum undatum"
"Ptilta gunneri","Buccinum undatum"
"Fimbrifolium dichotomum","Buccinum undatum"
"Desmarestia aculeata","Buccinum undatum"
"Palmaria palmata","Buccinum undatum"
"Devaleraea ramentacea","Buccinum undatum"
"Turnerella pennyi","Buccinum undatum"
"Desmarestia viridis","Buccinum undatum"
"Phytodetritus","Buccinum undatum"
"Phytodetritus","Cylichna cf. alba"
"Phytodetritus","Cylichna cf. oculata"
"Phytodetritus","Elachisina globuloides"
"Fucus distichus","Erginus rubellus"
"Pylaiella littoralis","Erginus rubellus"
"Chordaria flagelliformis","Erginus rubellus"
"Acrosiphonia","Erginus rubellus"
"Alaria esculenta","Erginus rubellus"
"Laminaria saccharina","Erginus rubellus"
