"con_number","consumer_sp","res_number","resource_sp","certainty"
"107","sidneyia inexpectans","83","aluta? sp.","2"
"107","sidneyia inexpectans","85","burgessia bella","2"
"107","sidneyia inexpectans","86","canadaspis ovalis","2"
"107","sidneyia inexpectans","87","canadaspis perfecta","2"
"107","sidneyia inexpectans","89","emeraldella bocki","2"
"107","sidneyia inexpectans","90","habelia brevicauda","2"
"107","sidneyia inexpectans","91","habelia optata","2"
"107","sidneyia inexpectans","92","helmetia expansa","2"
"107","sidneyia inexpectans","96","leanchoilia superlata","2"
"107","sidneyia inexpectans","98","molaria spinifera","2"
"107","sidneyia inexpectans","100","naraoia compacta","2"
"107","sidneyia inexpectans","101","odaraia alata","2"
"107","sidneyia inexpectans","102","perspicaris dictynna","2"
"107","sidneyia inexpectans","103","perspicaris recondita","2"
"107","sidneyia inexpectans","105","sanctacaris uncata","2"
"107","sidneyia inexpectans","107","sidneyia inexpectans","2"
"107","sidneyia inexpectans","111","tuzoia burgessensis","2"
"107","sidneyia inexpectans","112","tuzoia canadensis","2"
"107","sidneyia inexpectans","113","tuzoia? parva","2"
"107","sidneyia inexpectans","114","tuzoia praemorsa","2"
"107","sidneyia inexpectans","115","tuzoia retifera","2"
"107","sidneyia inexpectans","116","waptia fieldensis","2"
"107","sidneyia inexpectans","117","yohoia tenuis","2"
"107","sidneyia inexpectans","118","chancia palliseri","2"
"107","sidneyia inexpectans","119","ehmaniella burgessensis","2"
"107","sidneyia inexpectans","120","ehmaniella waptaensis","2"
"107","sidneyia inexpectans","121","elrathia permulta","2"
"107","sidneyia inexpectans","122","elrathina brevifrons","2"
"107","sidneyia inexpectans","123","elrathina crodillerae","2"
"107","sidneyia inexpectans","126","olenoides serratus","2"
"107","sidneyia inexpectans","127","oryctocephalus burgessensis","2"
"107","sidneyia inexpectans","128","oryctocephalus matthewi","2"
"107","sidneyia inexpectans","129","oryctoecphalus reynoldsi","2"
"107","sidneyia inexpectans","130","pagetia bootes","2"
"107","sidneyia inexpectans","131","parkaspis decamera","2"
"107","sidneyia inexpectans","132","peronopsis montis","2"
"107","sidneyia inexpectans","133","ptychagnostus praecurrens","2"
"107","sidneyia inexpectans","138","hurdia dentata","2"
"107","sidneyia inexpectans","139","hurdia triangulata","2"
"107","sidneyia inexpectans","142","ancalagon minor","2"
"107","sidneyia inexpectans","143","fieldia lanceolata","2"
"107","sidneyia inexpectans","146","selkirkia columbia","2"
"107","sidneyia inexpectans","147","eldonia ludwigi","2"
"107","sidneyia inexpectans","148","echmatocrinus brachiatus","2"
"107","sidneyia inexpectans","149","gogia radiata","2"
"107","sidneyia inexpectans","150","walcottidiscus magister","2"
"107","sidneyia inexpectans","151","walcottidiscus typicalis","2"
"111","tuzoia burgessensis","65","haplophrentis carinatus","1"
"111","tuzoia burgessensis","66","scenella amii","1"
"111","tuzoia burgessensis","67","burgessochaeta setigera","1"
"111","tuzoia burgessensis","68","canadia spinosa","1"
"111","tuzoia burgessensis","70","peronochaeta dubia","1"
"111","tuzoia burgessensis","71","stephanoscolex argutus","1"
"111","tuzoia burgessensis","83","aluta? sp.","1"
"111","tuzoia burgessensis","142","ancalagon minor","1"
"111","tuzoia burgessensis","143","fieldia lanceolata","1"
"111","tuzoia burgessensis","146","selkirkia columbia","1"
"111","tuzoia burgessensis","153","""ottoia"" tenuis","1"
"111","tuzoia burgessensis","162","oesia disjuncta","1"
"111","tuzoia burgessensis","166","portalia mira","1"
"112","tuzoia canadensis","65","haplophrentis carinatus","1"
"112","tuzoia canadensis","66","scenella amii","1"
"112","tuzoia canadensis","67","burgessochaeta setigera","1"
"112","tuzoia canadensis","68","canadia spinosa","1"
"112","tuzoia canadensis","70","peronochaeta dubia","1"
"112","tuzoia canadensis","71","stephanoscolex argutus","1"
"112","tuzoia canadensis","83","aluta? sp.","1"
"112","tuzoia canadensis","142","ancalagon minor","1"
"112","tuzoia canadensis","143","fieldia lanceolata","1"
"112","tuzoia canadensis","146","selkirkia columbia","1"
"112","tuzoia canadensis","153","""ottoia"" tenuis","1"
"112","tuzoia canadensis","162","oesia disjuncta","1"
"112","tuzoia canadensis","166","portalia mira","1"
"113","tuzoia? parva","65","haplophrentis carinatus","1"
"113","tuzoia? parva","66","scenella amii","1"
"113","tuzoia? parva","67","burgessochaeta setigera","1"
"113","tuzoia? parva","68","canadia spinosa","1"
"113","tuzoia? parva","70","peronochaeta dubia","1"
"113","tuzoia? parva","71","stephanoscolex argutus","1"
"113","tuzoia? parva","83","aluta? sp.","1"
"113","tuzoia? parva","142","ancalagon minor","1"
"113","tuzoia? parva","143","fieldia lanceolata","1"
"113","tuzoia? parva","146","selkirkia columbia","1"
"113","tuzoia? parva","153","""ottoia"" tenuis","1"
"113","tuzoia? parva","162","oesia disjuncta","1"
"113","tuzoia? parva","166","portalia mira","1"
"114","tuzoia praemorsa","65","haplophrentis carinatus","1"
"114","tuzoia praemorsa","66","scenella amii","1"
"114","tuzoia praemorsa","67","burgessochaeta setigera","1"
"114","tuzoia praemorsa","68","canadia spinosa","1"
"114","tuzoia praemorsa","70","peronochaeta dubia","1"
"114","tuzoia praemorsa","71","stephanoscolex argutus","1"
"114","tuzoia praemorsa","83","aluta? sp.","1"
"114","tuzoia praemorsa","142","ancalagon minor","1"
"114","tuzoia praemorsa","143","fieldia lanceolata","1"
"114","tuzoia praemorsa","146","selkirkia columbia","1"
"114","tuzoia praemorsa","153","""ottoia"" tenuis","1"
"114","tuzoia praemorsa","162","oesia disjuncta","1"
"114","tuzoia praemorsa","166","portalia mira","1"
"115","tuzoia retifera","65","haplophrentis carinatus","1"
"115","tuzoia retifera","66","scenella amii","1"
"115","tuzoia retifera","67","burgessochaeta setigera","1"
"115","tuzoia retifera","68","canadia spinosa","1"
"115","tuzoia retifera","70","peronochaeta dubia","1"
"115","tuzoia retifera","71","stephanoscolex argutus","1"
"115","tuzoia retifera","83","aluta? sp.","1"
"115","tuzoia retifera","142","ancalagon minor","1"
"115","tuzoia retifera","143","fieldia lanceolata","1"
"115","tuzoia retifera","146","selkirkia columbia","1"
"115","tuzoia retifera","153","""ottoia"" tenuis","1"
"115","tuzoia retifera","162","oesia disjuncta","1"
"115","tuzoia retifera","166","portalia mira","1"
"116","waptia fieldensis","65","haplophrentis carinatus","1"
"116","waptia fieldensis","66","scenella amii","1"
"116","waptia fieldensis","67","burgessochaeta setigera","1"
"116","waptia fieldensis","68","canadia spinosa","1"
"116","waptia fieldensis","70","peronochaeta dubia","1"
"116","waptia fieldensis","71","stephanoscolex argutus","1"
"116","waptia fieldensis","83","aluta? sp.","1"
"116","waptia fieldensis","142","ancalagon minor","1"
"116","waptia fieldensis","143","fieldia lanceolata","1"
"116","waptia fieldensis","146","selkirkia columbia","1"
"116","waptia fieldensis","153","""ottoia"" tenuis","1"
"116","waptia fieldensis","162","oesia disjuncta","1"
"116","waptia fieldensis","166","portalia mira","1"
"117","yohoia tenuis","65","haplophrentis carinatus","2"
"117","yohoia tenuis","66","scenella amii","2"
"117","yohoia tenuis","67","burgessochaeta setigera","2"
"117","yohoia tenuis","68","canadia spinosa","2"
"117","yohoia tenuis","70","peronochaeta dubia","2"
"117","yohoia tenuis","71","stephanoscolex argutus","2"
"117","yohoia tenuis","83","aluta? sp.","2"
"117","yohoia tenuis","142","ancalagon minor","2"
"117","yohoia tenuis","143","fieldia lanceolata","2"
"117","yohoia tenuis","146","selkirkia columbia","2"
