"con_number","consumer_sp","res_number","resource_sp","certainty"
"75","pisinnocaris subconigera*","79","retifacis abnormalis*","2"
"75","pisinnocaris subconigera*","81","saperion glumaceum","2"
"75","pisinnocaris subconigera*","82","sidneyia sinica","2"
"75","pisinnocaris subconigera*","91","waptia ovata","1"
"75","pisinnocaris subconigera*","95","yunaannocaris megista","1"
"75","pisinnocaris subconigera*","96","eoredlichia intermedia","3"
"75","pisinnocaris subconigera*","97","kuanyangia pusulosa","3"
"75","pisinnocaris subconigera*","98","yunnanocephalus yunnanensis","3"
"75","pisinnocaris subconigera*","103","haikoucaris ercaiensis","1"
"79","retifacis abnormalis*","45","brachiocaris? yunnanensis","1"
"79","retifacis abnormalis*","46","canadaspis laevigata*","1"
"79","retifacis abnormalis*","47","chengjiangocaris longiformis","2"
"79","retifacis abnormalis*","56","fortiforceps foliosa","1"
"79","retifacis abnormalis*","57","fuxianhuia protensa","2"
"79","retifacis abnormalis*","61","jinagfengia multisegmentalis","1"
"79","retifacis abnormalis*","63","kuamaia lata","2"
"79","retifacis abnormalis*","67","leanchoilia illecebrosa*","2"
"79","retifacis abnormalis*","69","naraoia longicaudata","1"
"79","retifacis abnormalis*","70","naraoia sponosa","1"
"79","retifacis abnormalis*","72","odaraia? eurypetala*","1"
"79","retifacis abnormalis*","75","pisinnocaris subconigera*","1"
"79","retifacis abnormalis*","79","retifacis abnormalis*","2"
"79","retifacis abnormalis*","81","saperion glumaceum","2"
"79","retifacis abnormalis*","82","sidneyia sinica","2"
"79","retifacis abnormalis*","91","waptia ovata","1"
"79","retifacis abnormalis*","95","yunaannocaris megista","1"
"79","retifacis abnormalis*","103","haikoucaris ercaiensis","1"
"81","saperion glumaceum","45","brachiocaris? yunnanensis","1"
"81","saperion glumaceum","46","canadaspis laevigata*","1"
"81","saperion glumaceum","47","chengjiangocaris longiformis","2"
"81","saperion glumaceum","56","fortiforceps foliosa","1"
"81","saperion glumaceum","57","fuxianhuia protensa","2"
"81","saperion glumaceum","61","jinagfengia multisegmentalis","1"
"81","saperion glumaceum","63","kuamaia lata","2"
"81","saperion glumaceum","67","leanchoilia illecebrosa*","2"
"81","saperion glumaceum","69","naraoia longicaudata","1"
"81","saperion glumaceum","70","naraoia sponosa","1"
"81","saperion glumaceum","72","odaraia? eurypetala*","1"
"81","saperion glumaceum","75","pisinnocaris subconigera*","1"
"81","saperion glumaceum","79","retifacis abnormalis*","2"
"81","saperion glumaceum","81","saperion glumaceum","2"
"81","saperion glumaceum","82","sidneyia sinica","2"
"81","saperion glumaceum","91","waptia ovata","1"
"81","saperion glumaceum","95","yunaannocaris megista","1"
"81","saperion glumaceum","103","haikoucaris ercaiensis","1"
"82","sidneyia sinica","26","ambrolinevitus maximus","2"
"82","sidneyia sinica","28","burithes yunanensis*","2"
"82","sidneyia sinica","29","linevitus optimus","2"
"82","sidneyia sinica","45","brachiocaris? yunnanensis","1"
"82","sidneyia sinica","46","canadaspis laevigata*","1"
"82","sidneyia sinica","47","chengjiangocaris longiformis","2"
"82","sidneyia sinica","56","fortiforceps foliosa","1"
"82","sidneyia sinica","57","fuxianhuia protensa","2"
"82","sidneyia sinica","61","jinagfengia multisegmentalis","1"
"82","sidneyia sinica","63","kuamaia lata","2"
"82","sidneyia sinica","67","leanchoilia illecebrosa*","2"
"82","sidneyia sinica","69","naraoia longicaudata","1"
"82","sidneyia sinica","70","naraoia sponosa","1"
"82","sidneyia sinica","72","odaraia? eurypetala*","1"
"82","sidneyia sinica","75","pisinnocaris subconigera*","1"
"82","sidneyia sinica","79","retifacis abnormalis*","2"
"82","sidneyia sinica","81","saperion glumaceum","2"
"82","sidneyia sinica","82","sidneyia sinica","2"
"82","sidneyia sinica","91","waptia ovata","1"
"82","sidneyia sinica","95","yunaannocaris megista","1"
"82","sidneyia sinica","96","eoredlichia intermedia","3"
"82","sidneyia sinica","97","kuanyangia pusulosa","3"
"82","sidneyia sinica","98","yunnanocephalus yunnanensis","3"
"82","sidneyia sinica","103","haikoucaris ercaiensis","1"
"83","sinoburius lunaris","4","detritus","2"
"85","squamacula clypeata","4","detritus","2"
"91","waptia ovata","4","detritus","1"
"94","xandrella speculum","4","detritus","2"
"95","yunaannocaris megista","45","brachiocaris? yunnanensis","1"
"95","yunaannocaris megista","46","canadaspis laevigata*","1"
"95","yunaannocaris megista","56","fortiforceps foliosa","1"
"95","yunaannocaris megista","61","jinagfengia multisegmentalis","1"
"95","yunaannocaris megista","65","kunmingella douvillei","1"
"95","yunaannocaris megista","69","naraoia longicaudata","1"
"95","yunaannocaris megista","70","naraoia sponosa","1"
"95","yunaannocaris megista","72","odaraia? eurypetala*","1"
"95","yunaannocaris megista","75","pisinnocaris subconigera*","1"
"95","yunaannocaris megista","83","sinoburius lunaris","1"
"95","yunaannocaris megista","85","squamacula clypeata","1"
"95","yunaannocaris megista","91","waptia ovata","1"
"95","yunaannocaris megista","95","yunaannocaris megista","1"
"95","yunaannocaris megista","103","haikoucaris ercaiensis","1"
"96","eoredlichia intermedia","45","brachiocaris? yunnanensis","1"
"96","eoredlichia intermedia","46","canadaspis laevigata*","1"
"96","eoredlichia intermedia","56","fortiforceps foliosa","1"
"96","eoredlichia intermedia","61","jinagfengia multisegmentalis","1"
"96","eoredlichia intermedia","65","kunmingella douvillei","2"
"96","eoredlichia intermedia","69","naraoia longicaudata","1"
"96","eoredlichia intermedia","70","naraoia sponosa","1"
"96","eoredlichia intermedia","72","odaraia? eurypetala*","1"
"96","eoredlichia intermedia","75","pisinnocaris subconigera*","1"
"96","eoredlichia intermedia","83","sinoburius lunaris","1"
"96","eoredlichia intermedia","85","squamacula clypeata","1"
"96","eoredlichia intermedia","91","waptia ovata","1"
"96","eoredlichia intermedia","95","yunaannocaris megista","1"
"96","eoredlichia intermedia","103","haikoucaris ercaiensis","1"
"97","kuanyangia pusulosa","45","brachiocaris? yunnanensis","1"
"97","kuanyangia pusulosa","46","canadaspis laevigata*","1"
"97","kuanyangia pusulosa","56","fortiforceps foliosa","1"
"97","kuanyangia pusulosa","61","jinagfengia multisegmentalis","1"
